GOOG,AAPL,NVDA
139.4013671875,184.93821716308597,48.16178512573242
140.20045471191406,183.5534820556641,47.56286239624024
137.88308715820312,181.22232055664065,47.9918098449707
137.2338409423828,180.49508666992188,49.09066390991211
140.37026977539062,184.8585205078125,52.24625396728516
142.39794921875,184.4401092529297,53.13314437866211
143.6365509033203,185.4861297607422,54.34298706054688
143.50669860839844,184.88841247558597,54.81492614746094
144.0760498046875,185.2171630859375,54.702938079833984
143.91622924804688,182.93582153320312,56.37472534179688
142.7275848388672,181.98941040039065,56.04576873779297
144.8251953125,187.91693115234372,57.09962844848633
147.8018035888672,190.8358459472656,59.48332214355469
147.5421142578125,193.1570281982422,59.64630126953125
148.51100158691406,194.4421539306641,59.86527633666992
150.17910766601562,193.7647247314453,61.35408020019531
153.46536254882812,193.43597412109372,61.60904693603516
153.6151885986328,191.6925811767578,61.02312469482422
154.66400146484375,191.0052032470703,62.456939697265625
152.87603759765625,187.32913208007807,62.76589584350586
141.63882446289062,183.70291137695312,61.51905822753906
142.54779052734375,186.15362548828125,63.01886749267578
143.3768310546875,185.14743041992188,66.1514663696289
144.7652587890625,186.9705047607422,69.32305908203125
145.24472045898438,188.5843963623047,68.21420288085938
146.5132598876953,188.6939849853516,70.08995056152344
147.0526580810547,187.6081085205078,69.63201141357422
150.04925537109375,188.37615966796875,72.12368774414062
148.56094360351562,186.680419921875,72.23867797851562
146.20362854003906,184.57571411132807,72.11869812011719
146.97274780273438,183.6879425048828,73.89046478271484
143.77639770507812,183.398681640625,72.64862060546875
141.59886169433594,181.85255432128903,72.60363006591797
142.03836059570312,181.1044464111328,69.44303894042969
143.67649841308594,181.862548828125,67.46329498291016
145.1548309326172,183.90737915039065,78.52787017822266
145.12484741210938,182.0620574951172,78.80683135986328
138.59228515625,180.70545959472656,79.08180236816406
139.94076538085938,182.17176818847656,78.69084167480469
137.27378845214844,180.9647979736328,77.6529769897461
139.62110900878906,180.2964782714844,79.10179138183594
